"2022,8422.90.90.000P,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  MAQUINAS PARA LAVAR VAJILLA; MAQUINAS Y APARATOS PARA LIMPIAR O SECAR BOTELLAS O DEMAS RECIPIENTES; MAQUINAS Y APARATOS PARA LLENAR, CERRAR, TAPAR, TAPONAR O ETIQUETAR BOTELLAS, BOTES O LATAS, CAJAS, SACOS (BOLSAS) O DEMAS CONTINENTES; MAQUINAS Y APARATOS PARA CAPSULAR BOTELLAS, TARROS, TUBOS Y CONTINENTES ANALOGOS; LAS DEMAS MAQUINAS Y APARATOS PARA EMPAQUETAR O ENVOLVER MERCANCIAS (INCLUIDAS LAS DE ENVOLVER CON PELICULA TERMORRETRACTIL);" MAQUINAS Y APARATOS PARA GASEAR BEBIDAS.    -Partes.       Las demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;
"2022,7216.22.00.000H,""Capitulos 72 METALES COMUNES Y MANUFACTURAS DE ESTOS METALES.  PERFILES DE HIERRO O DE ACERO SIN ALEAR. -Perfiles en L o en T, simplemente laminados o extrudidos en caliente, de altura inferior a 80 mm.  -Perfiles en L o en T, simplemente laminados o extrudidos en caliente, de altura inferior a 80 mm.     --Perfiles en T.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,3105.20.00.000D,""CAPITULO 31  ABONOS  ABONOS MINERALES O QUIMICOS, CON DOS O TRES DE LOS ELEMENTOS FERTILIZANTES"; NITROGENO; FOSFORO Y POTASIO; LOS DEMAS ABONOS;" PRODUCTOS DE ESTE CAPITULO EN TABLETAS O FORMAS SIMILARES O EN ENVASES DE UN PESO BRUTO INFERIOR O IGUAL A 10 Kg        -Abonos minerales o quÃ‚Â¿micos con los tres elementos fertilizantes: nitrÃ‚Â¿geno, fÃ‚Â¿sforo y potasio.""";;;;;;;;;;;;;;;;;;;;;;
"2022,8478.90.00.000Q,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS";" PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  MAQUINAS Y APARATOS PARA PREPARAR O ELABORAR TABACO, NO EXPRESADO NI COMPRENDIDOS EN OTRAPARTE DE ESTE CAPITULO.        -Partes.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8482.91.19.000Q,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS";" PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  RODAMIENTOS DE BOLAS, DE RODILLOS O DE AGUJAS. -Partes  -Partes --Bolas, rodillos y agujas.    Bolas de acero calibradas.       Las demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,9603.50.00.000U,""CAPITULO 96 MANUFACTURAS DIVERSAS  ESCOBAS, CEPILLOS Y BROCHAS, AUNQUE SEAN PARTESDE MAQUINAS, APARATOS O VEHICULOS, ESCOBAS MECANICAS DE USO MANUAL, EXCEPTO LASDE MOTOR, PINCELES Y PLUMEROS"; CABEZAS PREPARADASPARA ARTICULOS DE CEPILLERIA; ALMOHADILLAS Y RODILLOS, PARA PINTAR;" RASQUETAS DE CAUCHO OMATERIA FLEXIBLE ANALOGA.        -Los demÃ‚Â¿s cepillos que constituyan partes de mÃ‚Â¿quinas, aparatos o vehÃ‚Â¿culos""";;;;;;;;;;;;;;;;;;;;;;;
"2022,4819.20.00.000C,""CAPITULO 48 PAPEL Y CARTON"; MANUFACTURAS DE PASTA DECELULOSA, DE PAPEL O DE CARTON  CAJAS, SACOS (BOLSAS); BOLSITAS, CUCURUCHOS Y DEMAS ENVASES DE PAPEL, CARTON, GUATA DE CELULOSAO NAPAS DE FIBRAS DE CELULOSA;" CARTONAJES PARAOFICINA, TIENDA O SIMILARES.        -Cajas y cartonajes, plegables, de papel o cartÃ‚Â¿n, sin corrugar.""";;;;;;;;;;;;;;;;;;;;;;;
"2022,8714.99.90.000H,""CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  PARTES Y ACCESORIOS PARA VEHICULOS DE LASPARTIDAS 87.11 A 87.13. -Los demÃ‚Â¿s  -Los demÃ‚Â¿s --Los demÃ‚Â¿s       Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8516.32.00.000A,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES"; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  CALENTADORES ELECTRICOS DE AGUA DE CALENTAMIENTOINSTANTANEO O ACUMULACION Y CALENTADORESELECTRICOS DE INMERSION; APARATOS ELECTRICOSPARA LA CALEFACCION DE ESPACIOS O SUELOS;APARATOS ELECTROTERMICOS P/ EL CUIDADO DEL CABELLO (POR EJEMPLO: SECADORES, RIZADORES,CALIENTATENACILLAS) O DE SECAR LAS MANOS; PLANCHAS ELECTRICAS; LOS DEMASAPARATOS ELECTROTERMICOS DE USO DOMESTICO;"RESISTENCIAS CALENTADORAS, EXCEPTO LAS DE LAPARTIDA 85.45. -Aparatos electrotÃ‚Â¿rmicos para el cuidado del  cabello o de secar las manos:  -Aparatos electrotÃ‚Â¿rmicos para el cuidado del  cabello o de secar las manos:     --Los demÃ‚Â¿s aparatos para el cuidado del cabello.""";;;;;;;;;;;;;;;;;;;;
"2022,8443.99.50.000T,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  MÃ‚Â¿QUINAS Y APARATOS PARA IMPRIMIR MEDIANTE PLANCHAS, CILINDROS Y DEMÃ‚Â¿S ELEMENTOS IMPRESORES DE LA PARTIDA 84.42; LAS DEMÃ‚Â¿S MÃ‚Â¿QUINAS IMPRESORAS, COPIADORAS Y DE FAX, INCLUSO COMBINADAS ENTRE SÃ‚Â¿;" PARTES Y ACCESORIOS. - Partes y accesorios:  - Partes y accesorios: - - Los demÃ‚Â¿s    Los demÃ‚Â¿s mecanismos de impresiÃ‚Â¿n, sus partes y accesorios""";;;;;;;;;;;;;;;;;;;;;;;
"2022,4911.10.10.000G,""CAPITULO 49  PRODUCTOS EDITORIALES, DE LA PRENSA O DE OTRAS  INDUSTRIAS GRAFICAS";" TEXTOS MANUSCRITOS O  MECANOGRAFIADOS Y PLANOS.  LOS DEMAS IMPRESOS, INCLUIDAS LAS ESTAMPAS,GRABADOS Y FOTOGRAFIAS.    -Impresos publicitarios, catÃ‚Â¿logos comerciales y similares.       Que contengan informacion relativa al funcionamiento, mantenimiento, reparaciÃ‚Â¿n o utilizaciÃ‚Â¿n de mÃ‚Â¿quinas, aparatos, vehiculos y demÃ‚Â¿s mercaderias de origen extrazona""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8471.90.12.000L,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  MAQUINAS AUTOMATICAS PARA TRATAMIENTO O PROCESAMIENTO DE DATOS Y SUS UNIDADES;" LECTORES MAGNETICOS U OPTICOS, MAQUINAS PARA REGISTRO DE DATOS SOBRE SOPORTE EN FORMA CODIFICADA Y MAQUINAS PARA TRATAMIENTO O PROCESAMIENTO DE ESTOS DATOS, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE.    -Los demÃ‚Â¿s    Lectores o grabadores       Lectores de cÃ‚Â¿digos de barras""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8523.52.90.000G,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES";" APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  SOPORTES PREPARADOS PARA GRABAR SONIDO O     GRABACIONES ANALOGAS, SIN GRABAR, EXCEPTO LOSPRODUCTOS DEL CAPITULO 37. - Soportes semiconductores:  - Soportes semiconductores: -- Tarjetas inteligentes (Ã‚Â¿smart cardsÃ‚Â¿)    Las demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,3811.90.90.000H,""CAPITULO 38PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA  PREPARACIONES ANTIDETONANTES, INHIBIDORES DEOXIDACION, ADITIVOS PEPTIZANTES, MEJORADORES DEVISCOSIDAD, ANTICORROSIVOS Y DEMAS ADITIVOSPREPARADOS PARA ACEITES MINERALES (INCLUIDA LAGASOLINA O NAFTA) O PARA OTROS LIQUIDOSUTILIZADOS PARA LOS MISMOS FINES QUE LOS ACEITESMINERALES.    -Los demÃ‚Â¿s.       Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,3923.29.90.000F,""CAPITULO 39 MATERIAS PLASTICAS Y MANUFACTURAS DE ESTAS  MATERIAS  ARTICULOS PARA EL TRANSPORTE O ENVASADO, DE PLASTICO";" TAPONES, TAPAS, CAPSULAS Y DEMAS DISPOSITIVOS DE CIERRE, DE PLASTICO. -Sacos(bolsas),bolsitas y cucuruchos:  -Sacos(bolsas),bolsitas y cucuruchos: --De los demÃ‚Â¿s plÃ‚Â¿sticos.       Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,4811.59.23.000X,""CAPITULO 48 PAPEL Y CARTON";" MANUFACTURAS DE PASTA DECELULOSA, DE PAPEL O DE CARTON  PAPEL, CARTÃ‚Â¿N, GUATA DE CELULOSA Y NAPA DE FIBRAS DE CELULOSA, ESTUCADOS, RECUBIERTOS, IMPREGNADOS O REVESTIDOS, COLOREADOS O DECORADOS EN LA SUPERFICIE O IMPRESOS, EN BOBINAS (ROLLOS) O EN HOJAS DE FORMA CUADRADA ORECTANGULAR, DE CUALQUIER TAMAÃ‚Â¿O, EXCEPTO LOS PRODUCTOS DE LOS TIPOSDESCRITOS EN EL TEXTO DE LAS PARTIDAS 48.03, 48.09 Ã‚Â¿ 48.10. -Papel y cartÃ‚Â¿n recubiertos, impregnados o revestidos de plÃ‚Â¿stico (excepto los adhesivos):  -Papel y cartÃ‚Â¿n recubiertos, impregnados o revestidos de plÃ‚Â¿stico (excepto los adhesivos): --Los demÃ‚Â¿s    Los demÃ‚Â¿s, recubiertos o revestidos       De polietileno, estratificado con aluminio, impreso""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,4403.99.00.100G,""CAPITULO 44 MADERA, CARBON VEGETAL Y MANUFACTURAS DE MADERA  MADERA EN BRUTO, INCLUSO DESCORTEZADADESALBURADA O ESCUADRADA. -Las demÃ‚Â¿s:  -Las demÃ‚Â¿s:   --Las demÃ‚Â¿s        Postes""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8712.00.10.000H,""CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS      BICICLETAS Y DEMAS VELOCIPEDOS (INCLUIDOS LOSTRICICLOS PARA REPARTO), SIN MOTOR.       Bicicletas.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8443.31.11.000F,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  MÃ‚Â¿QUINAS Y APARATOS PARA IMPRIMIR MEDIANTE PLANCHAS, CILINDROS Y DEMÃ‚Â¿S ELEMENTOS IMPRESORES DE LA PARTIDA 84.42; LAS DEMÃ‚Â¿S MÃ‚Â¿QUINAS IMPRESORAS, COPIADORAS Y DE FAX, INCLUSO COMBINADAS ENTRE SÃ‚Â¿;" PARTES Y ACCESORIOS. - Las demÃ‚Â¿s mÃ‚Â¿quinas impresoras, copiadoras y de fax, incluso combinadas entre sÃ‚Â¿:  - Las demÃ‚Â¿s mÃ‚Â¿quinas impresoras, copiadoras y de fax, incluso combinadas entre sÃ‚Â¿: - - MÃ‚Â¿quinas que efectÃ‚Â¿an dos o mÃ‚Â¿s de las siguientes funciones: impresiÃ‚Â¿n, copia o fax, aptas para ser conectadas a una mÃ‚Â¿quina automÃ‚Â¿tica para tratamiento o procesamiento de datos o a una red Alimentadas con hojas, con velocidad de impresiÃ‚Â¿n, medida en formato A4 (210 mm x 297 mm), inferior o igual a 45 pÃ‚Â¿ginas por minuto (ppm)   A chorro de tinta lÃ‚Â¿quida, con ancho de impresiÃ‚Â¿n inferior o igual a 420 mm""";;;;;;;;;;;;;;;;;;;;;;;
"2022,4823.90.99.000T,""CAPITULO 48 PAPEL Y CARTON"; MANUFACTURAS DE PASTA DECELULOSA, DE PAPEL O DE CARTON  LOS DEMAS PAPELES, CARTONES, GUATAS DE CELULOSA YNAPAS DE FIBRAS DE CELULOSA, CORTADOS EN FORMATO;" LOS DEMAS ARTICULOS DE PASTA DE PAPEL, PAPEL, CARTON, GUATA DE CELULOSA O NAPAS DE FIBRAS DE CELULOSA.    -Los demÃ‚Â¿s.    Los demÃ‚Â¿s       Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,3921.13.90.000H,""CAPITULO 39 MATERIAS PLASTICAS Y MANUFACTURAS DE ESTAS  MATERIAS  LAS DEMAS PLACAS, LAMINAS, HOJAS Y TIRAS, DE PLASTICO. -Productos celulares:  -Productos celulares: --De poliuretanos       Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8306.30.00.000T,""CAPITULO 83 MANUFACTURAS DIVERSAS DE METALES COMUNES.  CAMPANAS, CAMPANILLAS, GONGOS Y ARTICULOS SIMILARES, QUE NO SEAN ELECTRICOS, DE METAL COMUN"; ESTATUILLAS Y DEMAS ARTICULOS PARA ADORNO,DE METAL COMUN; MARCOS PARA FOTOGRAFIAS, GRABADOS O SIMILARES, DE METAL COMUN; ESPEJOS DE METAL COMUN.        -Marcos para fotografÃ‚Â¿as, grabados o similares;" espejos.""";;;;;;;;;;;;;;;;;;;;;;
"2022,4420.90.00.000E,""CAPITULO 44 MADERA, CARBON VEGETAL Y MANUFACTURAS DE MADERA  MARQUETERIA Y TARACEA"; COFRECILLOS Y ESTUCHES PARA JOYERIA U ORFEBRERIA Y MANUFACTURAS SIMILARES, DE MADERA; ESTATUILLAS Y DEMAS OBJETOS PARA ADORNO, DE MADERA;" ARTICULOS DE MOBILIARIO, DE MADERA, NO COMPRENDIDOS EN EL CAPITULO 94.        -Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;
"2022,8703.21.00.900K,""CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  AUTOMOVILES PARA TURISMO Y DEMAS VEHICULOS AUTOMOVILES CONCEBIDOS PRINCIPALMENTE PARA EL TRANSPORTE DE PERSONAS (EXCEPTO LOS DE LA PARTIDA 87.02), INCLUIDOS LOS DEL TIPO FAMILIAR (""""BREAK"""" O """"STATION WAGON"""") Y LOS DE CARRERAS. -Los demÃ‚Â¿s vehÃ‚Â¿culos con motor de Ã‚Â¿mbolo (pistÃ‚Â¿n) alternativo, de encendido por chispa:  -Los demÃ‚Â¿s vehÃ‚Â¿culos con motor de Ã‚Â¿mbolo (pistÃ‚Â¿n) alternativo, de encendido por chispa:   --De cilindrada inferior o igual a 1.000 cm3        Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8702.10.00.000R,""CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  VEHICULOS AUTOMOVILES PARA EL TRANSPORTE DE DIEZO MAS PERSONAS, INCLUIDO EL CONDUCTOR.      - Con motor de Ã‚Â¿mbolo (pistÃ‚Â¿n) de encendido por compresiÃ‚Â¿n (DiÃ‚Â¿sel o semi-DiÃ‚Â¿sel)  Ã‚Â¿nicamente con motor de Ã‚Â¿mbolo (pistÃ‚Â¿n), de encendido por compresiÃ‚Â¿n (diÃ‚Â¿sel o semi-diÃ‚Â¿sel)""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,6306.19.90.000T,""CAPITULO 63LOS DEMAS ARTICULOS TEXTILES CONFECCIONADOS"; JUEGOS O SURTIDOS;PRENDERIA Y TRAPOS  TOLDOS DE CUALQUIER CLASE, TIENDAS (CARPAS); VELAS PARA EMBARCACIONES, PARA DESLIZADORES, O PARA VEHICULOS TERRESTRES;" ARTICULOS DE ACAMPAR. -Toldos de cualquier clase  -Toldos de cualquier clase - - De las demÃ‚Â¿s materias textiles          Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;
"2022,4802.54.99.000Z,""CAPITULO 48 PAPEL Y CARTON"; MANUFACTURAS DE PASTA DECELULOSA, DE PAPEL O DE CARTON  PAPEL Y CARTON, SIN ESTUCAR NI RECUBRIR, DE LOSTIPOS UTILIZADOS PARA ESCRIBIR, IMPRIMIR UOTROS FINES GRAFICOS, Y PAPEL Y CARTON PARA TARJETAS O CINTAS PARA PERFORAR(SIN PERFORAR), EN BOBINAS (ROLLOS)O EN HOJAS DE FORMA CUADRADA O RECTANGULAR, DE CUALQUIER TAMAÃ‚Â¿O, EXCEPTO LOS DE LAS PARTIDAS NRO.4801 O 4803;" PAPEL Y CARTON HECHOS A MANO (HOJA A HOJA). -Los demÃ‚Â¿s papeles y cartones, sin fibras obtenidas por procedimiento mecÃ‚Â¿nico o quÃ‚Â¿mico-mecÃ‚Â¿nico o con un contenido total de estas fibras inferior o igual al 10% en peso del contenido total de fibra:  -Los demÃ‚Â¿s papeles y cartones, sin fibras obtenidas por procedimiento mecÃ‚Â¿nico o quÃ‚Â¿mico-mecÃ‚Â¿nico o con un contenido total de estas fibras inferior o igual al 10% en peso del contenido total de fibra: --De peso inferior a 40 g/m2            Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,4802.55.99.000L,""CAPITULO 48 PAPEL Y CARTON"; MANUFACTURAS DE PASTA DECELULOSA, DE PAPEL O DE CARTON  PAPEL Y CARTON, SIN ESTUCAR NI RECUBRIR, DE LOSTIPOS UTILIZADOS PARA ESCRIBIR, IMPRIMIR UOTROS FINES GRAFICOS, Y PAPEL Y CARTON PARA TARJETAS O CINTAS PARA PERFORAR(SIN PERFORAR), EN BOBINAS (ROLLOS)O EN HOJAS DE FORMA CUADRADA O RECTANGULAR, DE CUALQUIER TAMAÃ‚Â¿O, EXCEPTO LOS DE LAS PARTIDAS NRO.4801 O 4803;" PAPEL Y CARTON HECHOS A MANO (HOJA A HOJA). -Los demÃ‚Â¿s papeles y cartones, sin fibras obtenidas por procedimiento mecÃ‚Â¿nico o quÃ‚Â¿mico-mecÃ‚Â¿nico o con un contenido total de estas fibras inferior o igual al 10% en peso del contenido total de fibra:  -Los demÃ‚Â¿s papeles y cartones, sin fibras obtenidas por procedimiento mecÃ‚Â¿nico o quÃ‚Â¿mico-mecÃ‚Â¿nico o con un contenido total de estas fibras inferior o igual al 10% en peso del contenido total de fibra: --De peso superior o igual a 40 g/m2 pero inferior o igual a 150 g/m2, en bobinas (rollos)    Los demÃ‚Â¿s       Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,1602.32.30.000F,""CAPITULO 16PREPARACIONES DE CARNE, DE PESCADO O DE  CRUSTACEOS, DE MOLUSCOS O DE LOS DEMAS INVERTEBRADOS ACUATICOS  LAS DEMAS PREPARACIONES Y CONSERVAS DE CARNE,DESPOJOS O SANGRE. -De aves de la partida 01.05:  -De aves de la partida 01.05: -- De gallo o gallina    Con un contenido de carne o de despojos superior o igual a 25% pero inferior o igual a 57% en peso""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,2915.31.00.000U,""CAPITULO 29PRODUCTOS QUIMICOS ORGANICOS  ACIDOS MONOCARBOXILICOS ACICLICOS SATURADOSY SUS ANHIDRIDOS, HALOGENUROS, PEROXIDOS Y PEROXIACIDOS";" SUS DERIVADOS HALOGENADOS, SULFONADOS, NITRADOS O NITROSADOS. -Esteres del Ã‚Â¿cido acÃ‚Â¿tico:  -Esteres del Ã‚Â¿cido acÃ‚Â¿tico:     --Acetato de etilo.""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,3506.10.10.000U,""CAPITULO 35  MATERIAS ALBUMINOIDEAS"; PRODUCTOS A BASE DE ALMIDON O DE FECULA MODIFICADOS; COLAS; ENZIMAS  COLAS Y DEMAS ADHESIVOS PREPARADOS, NO EXPRESADOSNI COMPRENDIDOS EN OTRA PARTE;" PRODUCTOS DE CUALQUIER CLASE UTILIZADOS COMO COLAS OADHESIVOS, ACONDICIONADOS PARA LA VENTA AL POR MENOR COMO COLAS O ADHESIVOS DE PESO NETO INFERIOR O IGUAL A 1 Kg.    -Productos de cualquier clase utilizados como colas o adhesivos, acondicionados para la venta al por menor como colas o adhesivos de un peso neto inferior o igual a 1 Kg.       A base de cianoacrilatos.""";;;;;;;;;;;;;;;;;;;;;;
2022,2106.90.30.000R,CAPITULO 21PREPARACIONES ALIMENTICIAS DIVERSAS  PREPARACIONES ALIMENTICIAS NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE.    -Las demÃ‚Â¿s.       Complementos alimenticios.;;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,7615.10.00.000C,""CAPITULO 76 En este Capitulo se entiende pora.)Barras  b.)Perfiles  c)Alambre  d.) Chapas, hojas y tiras  e.)tubos  ARTICULOS PARA USO DOMESTICO, HIGIENE O TOCADOR, Y SUS PARTES, DE ALUMINIO"; ESPONJAS, ESTROPAJOS, GUANTES Y ARTICULOS SIMILARES DE FREGAR, LUSTRAR O USOS ANALOGOS, DE ALUMINIO. -ArtÃ‚Â¿culos para uso domÃ‚Â¿stico y sus partes; esponjas, estropajos, guantes y artÃ‚Â¿culos similares de fregar, lustrar o usos anÃ‚Â¿logos:  -ArtÃ‚Â¿culos para uso domÃ‚Â¿stico y sus partes; esponjas, estropajos, guantes y artÃ‚Â¿culos similares de fregar, lustrar o usos anÃ‚Â¿logos:     - ArtÃ‚Â¿culos de uso domÃ‚Â¿stico y sus partes;" esponjas, 	  estropajos, guantes y artÃ‚Â¿culos similares para fregar, 	  lustrar o usos anÃ‚Â¿logos	""";;;;;;;;;;;;;;;;;;;;;;
"2022,9403.10.00.000Z,""CAPITULO 94MUEBLES"; MOBILIARIO MEDICOQUIRURGICO; ARTICULOS  DE CAMA Y SIMILARES; APARATOS DE ALUMBRADO NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE;  ANUNCIOS LUMINOSOS, LETREROS LUMINOSOS, PLACASINDICADORAS LUMINOSAS Y ARTICULOS SIMILARES;" CONSTRUCCIONES PREFABRICADAS  LOS DEMAS MUEBLES Y SUS PARTES.        -Muebles de metal del tipo de los utilizados en  las oficinas.""";;;;;;;;;;;;;;;;;;;;;
"2022,7209.17.00.000N,""Capitulos 72 METALES COMUNES Y MANUFACTURAS DE ESTOS METALES.  PRODUCTOS LAMINADOS PLANOS DE HIERRO O DE ACEROSIN ALEAR, DE ANCHURA SUPERIOR O IGUAL A 600 mm.,LAMINADOS EN FRIO, SIN CHAPAR NI REVESTIR. -Enrollados, simplemente laminados en frÃ‚Â¿o:  -Enrollados, simplemente laminados en frÃ‚Â¿o:     --De espesor superior o igual a 0,5 mm pero inferior o igual a 1 mm""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,9026.10.11.000M,""CAPITULO 90  INSTRUMENTOS Y APARATOS DE OPTICA, DEFOTOGRAFIA O DE CINEMATOGRAFIA, DE MEDIDA, DE  CONTROL O DE PRECISION"; INSTRUMENTOS Y APARATOS MEDICOQUIRURGICOS;" PARTES Y ACCESORIOS DE ESTOSINSTRUMENTOS O APARATOS  INSTRUMENTOS Y APARATOS PARA LA MEDIDA O CONTROL DEL CAUDAL, NIVEL, PRESION U OTRAS CARACTERISTICAS VARIABLES DE LIQUIDOS O GASES (POR EJEMPLO: CAUDALIMETROS, INDICADORES DE NIVEL, MANOMETROS, CONTADORES DE CALOR), EXCEPTO LOS INSTRUMENTOS Y APARATOS DE LAS PARTIDAS 90.14, 90.15, 90.28 O 90.32.    -Para medida o control del caudal o nivel de lÃ‚Â¿quidos.    Para medida o control de caudal.       Medidores transmisores electrÃ‚Â¿nicos que    funcionen por el principio de inducciÃ‚Â¿n    electromagnÃ‚Â¿tica.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,7113.19.00.000Q,""CAPITULO 71PERLAS NATURALES O CULTIVADAS, PIEDRAS PRECIOSAS,  SEMIPRECIOSAS O SIMILARES, METALES PRECIOSOS, CHAPADOS DE METALES PRECIOSOS Y MANUFACTURAS DEESTAS MATERIAS"; BISUTERIA;" MONEDAS.  ARTICULOS DE JOYERIA Y SUS PARTES, DE METAL PRECIOSO O DE CHAPADO DE METAL PRECIOSO(PLAQUE). -De metal precioso, incluso revetido o chapados de metal precioso(plaquÃ‚Â¿)  -De metal precioso, incluso revetido o chapados de metal precioso(plaquÃ‚Â¿)     --De los demÃ‚Â¿s metales preciosos, incluso revestidos o chapados de metal precioso(plaquÃ‚Â¿)""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,9004.90.20.900Y,""CAPITULO 90  INSTRUMENTOS Y APARATOS DE OPTICA, DEFOTOGRAFIA O DE CINEMATOGRAFIA, DE MEDIDA, DE  CONTROL O DE PRECISION"; INSTRUMENTOS Y APARATOS MEDICOQUIRURGICOS;" PARTES Y ACCESORIOS DE ESTOSINSTRUMENTOS O APARATOS  GAFAS (ANTEOJOS) CORRECTORAS, PROTECTORAS UOTRAS, Y ARTICULOS SIMILARES.    -Las demÃ‚Â¿s  --- Gafas (anteojos) de seguridad.  Los demas""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,3824.99.79.000Q,""CAPITULO 38PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA  PREPARACIONES AGLUTINANTES PARA MOLDES O NUCLEOS DE FUNDICION";" PRODUCTOS QUIMICOS Y PREPARACIONES DE LA INDUSTRIA QUIMICA O DE LAS INDUSTRIAS CONEXAS (INCLUIDAS LAS MEZCLAS DE PRODUCTOS NATURALES), NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE, PRODUCTOS RESIDUALES DE LA INDUSTRIA QUIMICA O DE LAS INDUSTRIAS CONEXAS, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE.    -- Los demÃ‚Â¿s --- Productos y preparaciones a base de elementos quÃ‚Â¿micos o de sus compuestos inorgÃ‚Â¿nicos, no expresados ni comprendidos en otra parte   Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;;
